smiles,e_t
C[C@H](Cc1ccco1)NC(=O)CCCC[C@H]1CCSS1,86.13638827961404
COC(=O)[C@H]1CCSS1,48.619508110685274
CSSC(C)(C)CCC(=O)O,55.949997983989306
OCCOCCOCCOCCSSc1ccccn1,53.65355954284314
COC(=O)[C@@H]1CCSS1,48.59427658945788
CC(C)(CCC(=O)O)SSc1ccccn1,50.76165255927481
C[C@H](Cc1ccco1)NC(=O)CCCC[C@H]1CCSS1,86.13638827961404
COC(=O)[C@H]1CCSS1,48.619508110685274
CSSC(C)(C)CCC(=O)O,55.949997983989306
OCCOCCOCCOCCSSc1ccccn1,53.65355954284314
COC(=O)[C@@H]1CCSS1,48.59427658945788
CC(C)(CCC(=O)O)SSc1ccccn1,50.76165255927481
