SMILES,SMILES_SD
COC(=O)[C@@H]1CCSS1,C_1_O_1_C_1_(=O_1_)[C@@H]_1_1C_1_C_1_S_5_S_4_1
C[C@H](Cc1ccco1)NC(=O)CCCC[C@H]1CCSS1,C_1_[C@H]_1_(C_1_c_3_1c_2_c_1_c_4_o_1_1)N_1_C_1_(=O_1_)C_1_C_1_C_1_C_1_[C@H]_1_1C_1_C_1_S_4_S_4_1
CC(C)(CCC(=O)O)SSc1ccccn1,C_1_C_1_(C_1_)(C_1_C_1_C_1_(=O_1_)O_1_)S_5_S_4_c_1_1c_1_c_1_c_1_c_1_n_1_1
COC(=O)[C@H]1CCSS1,C_1_O_1_C_1_(=O_1_)[C@H]_1_1C_1_C_1_S_5_S_4_1
OCCOCCOCCOCCSSc1ccccn1,O_1_C_1_C_1_O_1_C_1_C_1_O_1_C_1_C_1_O_1_C_1_C_1_S_5_S_4_c_1_1c_2_c_1_c_2_c_1_n_2_1
CSSC(C)(C)CCC(=O)O,C_1_S_5_S_5_C_1_(C_1_)(C_1_)C_1_C_1_C_1_(=O_1_)O_1_
COC(=O)[C@@H]1CCSS1,C_1_O_1_C_1_(=O_1_)[C@@H]_1_1C_1_C_1_S_5_S_4_1
C[C@H](Cc1ccco1)NC(=O)CCCC[C@H]1CCSS1,C_1_[C@H]_1_(C_1_c_3_1c_2_c_1_c_4_o_1_1)N_1_C_1_(=O_1_)C_1_C_1_C_1_C_1_[C@H]_1_1C_1_C_1_S_4_S_4_1
CC(C)(CCC(=O)O)SSc1ccccn1,C_1_C_1_(C_1_)(C_1_C_1_C_1_(=O_1_)O_1_)S_5_S_4_c_1_1c_1_c_1_c_1_c_1_n_1_1
COC(=O)[C@H]1CCSS1,C_1_O_1_C_1_(=O_1_)[C@H]_1_1C_1_C_1_S_5_S_4_1
OCCOCCOCCOCCSSc1ccccn1,O_1_C_1_C_1_O_1_C_1_C_1_O_1_C_1_C_1_O_1_C_1_C_1_S_5_S_4_c_1_1c_2_c_1_c_2_c_1_n_2_1
CSSC(C)(C)CCC(=O)O,C_1_S_5_S_5_C_1_(C_1_)(C_1_)C_1_C_1_C_1_(=O_1_)O_1_
COC(=O)[C@@H]1CCSS1,C_1_O_1_C_1_(=O_1_)[C@@H]_1_1C_1_C_1_S_5_S_4_1
C[C@H](Cc1ccco1)NC(=O)CCCC[C@H]1CCSS1,C_1_[C@H]_1_(C_1_c_3_1c_2_c_1_c_4_o_1_1)N_1_C_1_(=O_1_)C_1_C_1_C_1_C_1_[C@H]_1_1C_1_C_1_S_4_S_4_1
CC(C)(CCC(=O)O)SSc1ccccn1,C_1_C_1_(C_1_)(C_1_C_1_C_1_(=O_1_)O_1_)S_5_S_4_c_1_1c_1_c_1_c_1_c_1_n_1_1
COC(=O)[C@H]1CCSS1,C_1_O_1_C_1_(=O_1_)[C@H]_1_1C_1_C_1_S_5_S_4_1
OCCOCCOCCOCCSSc1ccccn1,O_1_C_1_C_1_O_1_C_1_C_1_O_1_C_1_C_1_O_1_C_1_C_1_S_5_S_4_c_1_1c_2_c_1_c_2_c_1_n_2_1
CSSC(C)(C)CCC(=O)O,C_1_S_5_S_5_C_1_(C_1_)(C_1_)C_1_C_1_C_1_(=O_1_)O_1_
COC(=O)[C@@H]1CCSS1,C_1_O_1_C_1_(=O_1_)[C@@H]_1_1C_1_C_1_S_5_S_4_1
C[C@H](Cc1ccco1)NC(=O)CCCC[C@H]1CCSS1,C_1_[C@H]_1_(C_1_c_3_1c_2_c_1_c_4_o_1_1)N_1_C_1_(=O_1_)C_1_C_1_C_1_C_1_[C@H]_1_1C_1_C_1_S_4_S_4_1
CC(C)(CCC(=O)O)SSc1ccccn1,C_1_C_1_(C_1_)(C_1_C_1_C_1_(=O_1_)O_1_)S_5_S_4_c_1_1c_1_c_1_c_1_c_1_n_1_1
COC(=O)[C@H]1CCSS1,C_1_O_1_C_1_(=O_1_)[C@H]_1_1C_1_C_1_S_5_S_4_1
OCCOCCOCCOCCSSc1ccccn1,O_1_C_1_C_1_O_1_C_1_C_1_O_1_C_1_C_1_O_1_C_1_C_1_S_5_S_4_c_1_1c_2_c_1_c_2_c_1_n_2_1
CSSC(C)(C)CCC(=O)O,C_1_S_5_S_5_C_1_(C_1_)(C_1_)C_1_C_1_C_1_(=O_1_)O_1_
